COLUMN1,COLUMN2,COLUMN3,COLUMN4,COLUMN5,COLUMN6,COLUMN7,COLUMN8,COLUMN9,COLUMN10,COLUMN11,COLUMN12,COLUMN13,COLUMN14,COLUMN15,COLUMN16,COLUMN17,COLUMN18,COLUMN19,COLUMN20,COLUMN21,COLUMN22,COLUMN23,COLUMN24,COLUMN25,COLUMN26,COLUMN27,COLUMN28,COLUMN29,COLUMN30,COLUMN31,COLUMN32,COLUMN33,COLUMN34,COLUMN35,COLUMN36,COLUMN37,COLUMN38,COLUMN39,COLUMN40,COLUMN41
Other,20.286,436.2689028,19.845,349.634923,17.199,329.0456765,3985.758,270.758117,29.106,269.5513179,3995.019,261.3939448,3990.168,252.1166696,3992.814,248.564824,3987.963,246.2553195,22.05,240.2911113,3988.404,233.0991,3990.609,223.2645277,28.665,222.4396151,3997.224,219.8618911,16.317,208.8042817,3981.348,206.5465149,24.255,205.341455,3983.553,194.3210892,27.342,169.6642906,85.554,164.213154
Other,13.671,520.5310183,14.112,517.5799384,11.907,502.3429207,16.758,449.5647762,14.553,387.2429304,85.113,341.7252866,23.373,322.0450035,13.23,319.526591,41.895,312.300972,29.988,291.8367388,11.466,282.9275819,33.075,273.1474044,27.342,271.5302587,17.64,253.180484,53.802,229.9017475,24.255,225.1340249,84.672,216.2170943,82.467,198.3101247,35.28,191.5184045,33.516,189.560091
Other,3513.447,170.5759371,3657.654,150.6696287,3631.635,146.2965166,3737.475,138.8504289,3696.021,134.1900271,3976.497,132.9533886,3522.708,132.5774307,3746.736,132.3833076,3713.661,130.926749,3532.41,130.5535126,3884.769,128.2703201,3816.414,127.6442113,3875.508,127.1671018,3622.374,126.3657467,3647.07,126.1178724,3876.831,124.6750384,3686.76,123.6079632,3523.149,123.5280853,3666.915,121.4256484,3681.909,121.0840055
Other,4125.555,151.9210689,5276.124,142.0239008,5269.95,135.0262793,4843.062,131.6921841,4047.498,131.5692883,4321.359,131.5352545,5278.329,130.1541475,4857.615,129.433234,4071.312,123.7971375,4703.265,116.8918137,4038.237,116.8306413,5303.025,116.4073264,4821.012,114.5150072,5255.397,113.034546,4213.314,112.3579236,4175.388,110.3784133,4221.693,102.434887,4185.531,102.3475325,4062.051,101.7635554,3943.863,101.3607247
Other,3466.26,107.740789,3903.291,104.8462532,3793.041,101.7442121,4664.898,95.19673608,3506.391,92.11055031,3776.283,92.09952102,3746.736,91.31962986,4667.544,91.20521615,3430.539,90.41182182,3519.18,88.02208214,3706.605,87.45567128,3544.317,87.19727251,3535.938,87.15147597,3909.024,86.0555816,3778.929,85.79424718,3741.444,85.1473221,2639.385,84.1529704,4459.833,83.07956904,2492.091,82.89298259,3784.662,79.86459003
Other,3526.236,177.7278798,3513.447,170.3127121,3516.975,156.3909035,3346.749,152.5065426,3112.137,152.2028723,3530.205,140.9417831,3791.277,140.1261885,3610.467,137.0685307,3428.334,134.9233148,3610.026,133.9816944,3865.806,133.1609059,3428.775,131.4317705,3356.01,129.5900077,3849.93,128.7113056,3414.222,128.6006283,3532.851,128.5397084,3897.558,124.8819858,3411.576,124.7224317,3630.753,120.8663988,3948.273,119.8658849
Other,6201.342,270.8087862,6175.764,269.4809925,6132.105,247.2595963,6225.597,246.1927572,6196.05,243.566296,6231.33,238.8566009,6200.019,238.8541978,6324.822,230.3989746,6352.164,214.4585178,6157.683,209.8602982,3.969,208.0850458,6314.679,205.8273938,6183.702,202.0463329,6281.604,196.7399822,6327.909,194.337884,6308.505,192.3270369,6264.846,191.8071131,6353.487,190.1881855,6089.769,186.4472424,6325.704,185.0667866
Other,5479.425,214.6305112,5475.456,208.2003275,5479.866,197.2803878,5481.63,189.75004,5441.499,165.812662,6175.323,161.8357067,6255.585,161.3533511,5921.307,161.2859319,5423.418,159.7944269,5720.652,155.3209889,6253.821,152.8916536,5474.574,150.0825064,6161.652,145.969758,5460.021,144.6610893,5907.636,143.2428656,5674.788,142.2409701,5380.641,141.5917398,5946.444,139.0348732,5878.971,137.523099,6470.352,136.7834859
Other,97.461,149.2252668,70.56,141.4231748,74.088,119.6990216,64.386,114.9974618,3659.859,112.2056645,70.119,110.8276806,3910.788,110.2499338,142.884,107.2417602,57.33,105.3358508,114.219,103.7231847,74.529,99.09498277,72.324,96.47446733,100.548,95.39032422,3917.844,91.6900882,3904.173,89.13614007,72.765,88.69235938,3923.577,87.6696845,85.554,86.80203289,69.237,85.92952063,84.672,85.80102319
Other,3247.524,237.4601456,3677.499,207.7563528,3745.854,192.1544092,3725.568,189.1945861,4136.58,186.6231785,4137.462,183.3606598,3770.55,183.0952545,4147.605,182.0261109,4140.99,178.5209683,4197.879,170.4175785,3737.916,168.1888483,4189.941,163.8571562,3376.737,160.2530301,3325.581,160.0471607,3515.211,158.2545082,3758.202,155.7589661,4187.736,155.540054,4084.983,152.3152113,3633.84,151.6125351,3212.244,150.0066716
