COLUMN1,COLUMN2,COLUMN3,COLUMN4,COLUMN5,COLUMN6,COLUMN7,COLUMN8,COLUMN9,COLUMN10,COLUMN11,COLUMN12,COLUMN13,COLUMN14,COLUMN15,COLUMN16,COLUMN17,COLUMN18,COLUMN19,COLUMN20,COLUMN21,COLUMN22,COLUMN23,COLUMN24,COLUMN25,COLUMN26,COLUMN27,COLUMN28,COLUMN29,COLUMN30,COLUMN31,COLUMN32,COLUMN33,COLUMN34,COLUMN35,COLUMN36,COLUMN37,COLUMN38,COLUMN39,COLUMN40,COLUMN41
cat,1956.8,279.7993649,1961.92,257.832015,1955.2,247.5476743,1304.96,241.7900809,1957.12,219.9851965,3263.36,207.221172,1302.08,203.8474176,1932.16,200.8235286,1960.32,200.58602,1306.88,198.323511,1306.56,197.5028475,1958.72,192.0912943,1963.84,187.7212533,1293.12,180.278529,1933.44,178.0931748,1967.68,177.5034563,1300.16,170.2812813,3261.76,167.2691897,1301.76,163.7635053,1960,160.8897272
cat,0,915.5818543,4.48,316.1944784,4.8,250.7929281,58.88,248.3554555,4.16,239.7702404,57.92,201.641618,8.96,199.9496382,9.28,189.8335798,8.64,181.8908969,17.6,179.3024811,56.96,176.9071297,57.6,175.8582842,18.24,174.94379,58.24,164.0703056,17.28,152.3789418,18.56,148.7298071,17.92,148.0206864,57.28,146.1553323,5.12,138.863764,9.6,130.4365468
cat,904.96,708.3873669,904.32,667.8570644,1537.6,476.4256774,1537.92,462.4197615,833.6,456.605387,832.64,430.1609727,830.4,429.9680336,903.68,428.8137135,830.08,417.8802876,1538.24,400.8347016,864.96,392.4556167,1537.28,384.8111219,810.24,376.069074,879.68,366.703644,1340.8,363.0603221,907.2,362.6860122,866.56,358.8026881,887.68,345.4160408,825.92,341.5521751,905.6,330.7490595
cat,837.12,321.1695812,826.56,320.7100569,827.2,316.3257346,848,309.464453,824.96,292.8197471,828.8,276.1082068,824.32,267.8374299,840.96,266.6777113,839.36,258.5429564,1753.28,232.8084274,1753.6,229.2426422,1753.92,226.6786406,837.76,223.7871701,822.08,217.7501075,1757.76,216.2848198,1752.96,214.0701833,1754.24,214.0334306,834.88,211.1529152,838.72,207.7257851,1758.08,204.32937
cat,1653.44,198.2654268,1647.04,194.1120422,1644.16,179.6485197,1650.56,174.4371109,1612.48,173.1079262,2437.76,157.7982344,1614.08,151.3687685,2464.32,148.5072217,2448,143.5046253,1610.88,142.0835151,1623.04,141.8356147,2437.12,137.6952136,1597.44,134.924874,2447.36,131.1336236,2463.68,130.9100893,1649.92,126.74894,1616.32,125.6829141,1704.64,117.083546,1728.32,116.6333415,1599.04,116.392631
cat,1535.36,234.3526602,1533.44,233.9233424,1538.88,227.4825185,1536.96,216.5103813,1540.8,216.4945125,1531.52,209.8068844,1529.92,203.4239054,1544.32,203.0441174,1528,202.0351628,1537.28,183.2476288,1546.24,182.7377847,1542.72,182.2883844,1535.04,179.2421923,1542.4,179.00958,1531.84,174.6761397,1526.08,167.8404254,1524.48,159.7374029,1529.6,156.2391447,1548.16,150.9675584,1540.48,148.0727641
cat,1592.857143,498.3383005,1590.816327,479.5711013,1597.959184,335.6575134,1603.061224,302.6753441,1594.897959,281.2537363,1619.387755,262.1772824,1625.510204,251.1399202,1616.326531,249.8819001,1608.163265,247.3564782,1622.44898,220.1367958,1611.22449,214.6986804,1600,194.4404749,1613.265306,180.2377946,1601.020408,148.6117757,1583.673469,138.1504504,1628.571429,133.1143408,1636.734694,117.5314011,1614.285714,115.3969909,1643.877551,105.4764523,1588.77551,95.96629124
cat,383.04,432.2977904,902.4,369.436748,798.08,360.1954238,927.36,360.0875137,384,340.0063898,398.72,316.0891774,397.44,313.1885674,905.92,307.2267242,865.92,279.7066611,935.68,269.831858,811.2,265.5751402,856.64,255.6383539,859.84,252.569098,394.88,250.0862396,808.64,246.4134311,929.28,241.8689351,800,241.2255141,391.36,241.0969539,892.8,239.5080475,404.8,230.4683936
cat,800.2628121,782.5838176,3.613666229,682.2098113,821.2877792,650.1782509,799.934297,596.7477837,823.587385,590.6435772,1.642575558,564.8662105,801.9053876,560.3254923,799.6057819,527.2720928,814.717477,460.210631,800.5913272,436.7788249,5.584756899,428.0834923,822.6018397,420.8339437,809.4612352,418.6804398,817.674113,415.0001569,812.0893561,414.1835936,824.5729304,381.7154282,5.256241787,326.1407808,816.6885677,322.7699766,793.0354796,317.8860255,828.8436268,305.3383336
cat,29.67171717,544.5682958,28.40909091,474.2683726,27.14646465,432.5213015,85.22727273,374.1894317,53.66161616,371.8530516,58.71212121,339.9347788,86.48989899,320.3363268,63.76262626,296.7693829,67.55050505,285.0127579,55.55555556,271.006119,30.93434343,259.1407253,25.25252525,238.2638266,23.35858586,234.9478939,56.81818182,231.3235374,76.38888889,213.4045118,80.17676768,180.0430442,60.60606061,178.8014702,50.50505051,155.5337928,72.6010101,149.1026125,116.7929293,144.4709656
cat,2599.68,107.6300912,2568.32,102.0286997,2565.12,101.6853598,2451.84,96.70608565,2584.32,95.28800501,2513.92,95.00209101,2818.24,88.86944558,2623.04,88.03463752,2823.36,87.79657572,2819.84,87.49646149,2825.92,85.89358898,2619.84,85.65757785,2580.8,84.89392807,2457.92,84.06187115,2459.84,82.58344469,2601.28,82.18459842,2669.12,82.17074777,2621.44,81.80236843,2620.16,80.75530567,2492.8,79.9679032
cat,274.56,682.3917684,275.2,592.7156752,272.32,497.7536346,276.8,457.8612566,271.68,401.2610534,310.4,377.3421284,277.44,365.0203086,273.92,358.9845056,272.96,344.1161275,301.76,305.4744755,314.88,300.4450944,316.8,291.801128,922.56,291.3321646,916.48,289.4833376,1360.96,285.2882284,304.32,284.7794303,611.84,276.3590079,282.24,254.3820787,318.4,246.9097634,307.84,246.4194839
cat,59.52,757.4080414,120,698.5506529,89.28,418.1176392,57.28,394.2571975,112.64,366.5090455,105.28,268.8177493,90.56,265.8706913,52.8,256.5196905,73.28,251.4705393,92.16,245.9113151,89.92,241.9331538,72.32,229.6086097,60.8,226.1573638,93.76,225.7830993,71.36,209.8790521,61.76,193.3621845,60.16,186.8580832,53.76,182.4221203,64.32,181.3456469,94.72,175.829946
cat,2542.592593,192.143254,2576.851852,188.2868459,3228.703704,170.4400523,3160.185185,169.227653,3224.074074,162.2068969,2581.481481,159.2310234,2508.333333,151.5814323,2532.407407,142.0515255,2583.333333,141.1914618,2526.851852,139.8882688,2513.888889,131.8549374,3222.222222,127.7389863,3175.925926,122.3092715,2497.222222,119.1766521,3183.333333,117.3855399,3130.555556,112.5723693,2502.777778,112.378027,3141.666667,111.1171687,3136.111111,108.9551621,3165.740741,108.6030787
cat,210.88,104.8839968,328.32,89.83064927,193.6,86.22169666,195.84,81.03303763,214.08,79.02663813,250.88,77.29205833,284.48,76.41106787,191.36,69.56063858,169.92,66.16306917,196.8,65.81902055,195.2,65.07743826,416.96,64.78904864,192.96,63.87207558,194.56,62.09556817,224.64,60.77963065,356.16,60.67445534,209.92,60.15547521,300.16,59.33371549,384.32,57.68961573,265.6,55.4608241
cat,1248.64,204.4362502,1248,200.3206561,1249.28,194.2241872,1247.36,181.7916292,623.36,179.1614984,624,177.3824191,1249.92,171.3399841,624.64,169.2626086,622.72,165.5133945,353.6,163.8089194,353.28,158.4782412,352.64,158.1946637,352.96,157.739931,354.24,156.586656,353.92,156.0219908,1134.08,153.9311303,625.28,153.2084961,1246.72,148.9033432,352.32,147.6658535,534.72,146.8015564
cat,1331.317204,410.8500094,684.811828,293.9169238,681.4516129,283.0532602,1284.274194,220.7533909,679.4354839,220.7082339,682.7956989,215.0093683,1304.435484,208.7375034,1309.811828,204.7224778,1362.903226,202.3010695,1324.596774,198.6230103,686.827957,195.9315758,670.6989247,189.4480339,1327.284946,186.284848,671.3709677,178.6902594,677.4193548,178.3917017,1290.322581,167.957354,1289.650538,165.2969411,1315.188172,163.9941068,666.6666667,159.6639141,680.7795699,153.5300847
cat,8.32,768.0548466,9.28,539.6522191,38.72,524.993423,12.16,517.8959733,36.8,500.1543338,31.04,437.1076275,34.56,416.5264748,198.4,401.0701348,40,353.4464873,41.28,351.2081185,204.16,339.5107963,37.76,328.644542,24.32,327.3995516,197.44,322.0658507,204.48,315.7274023,21.44,312.402717,180.8,298.3571038,136.32,291.5882243,23.04,288.8068759,32,282.9832414
cat,646.72,400.3579304,642.88,375.911998,644.8,359.6659976,649.92,342.4777241,650.24,333.3967185,645.12,332.5543775,647.04,297.3945631,643.2,294.0138733,622.4,258.7850193,1877.12,249.6399236,625.28,245.0907081,463.04,242.7845094,646.4,242.1088583,1895.04,232.4074723,626.24,230.7175647,653.76,223.6963876,463.36,221.6064747,470.4,211.8049447,456,202.3073605,605.44,196.3721105
cat,2194.683321,380.5943053,739.2342151,313.5818663,727.2013864,298.8493963,2220.841644,297.1041258,2207.239316,293.4347289,2205.14665,290.162663,737.6647157,267.130462,768.5315371,255.7296424,2326.52127,238.0806037,2327.044436,236.7393008,2217.179479,232.3645237,2182.650492,220.5035968,2222.93431,217.9167898,2181.080993,215.1479903,2215.609979,213.3775979,2313.965275,199.2656378,3105.516136,197.2389369,728.7708858,194.4763651,2313.442108,189.6019744,2193.113821,186.1533556
